Date,Value
2020-01-01,5.947800159454346
2020-01-02,5.946300029754639
2020-01-03,5.955699920654297
2020-01-06,5.967959880828857
2020-01-07,5.968999862670898
2020-01-08,5.974370002746582
2020-01-09,5.908899784088135
2020-01-10,5.877299785614014
2020-01-13,5.875329971313477
2020-01-14,5.865499973297119
2020-01-15,5.8871002197265625
2020-01-16,5.875349998474121
2020-01-17,5.855100154876709
2020-01-20,5.890769958496094
2020-01-21,5.91077995300293
2020-01-22,5.93310022354126
2020-01-23,5.9196600914001465
2020-01-24,5.929200172424316
2020-01-27,5.944779872894287
2020-01-28,5.942800045013428
2020-01-29,5.940999984741211
2020-01-30,5.95665979385376
2020-01-31,5.97415018081665
2020-02-03,5.975039958953857
2020-02-04,5.98360013961792
2020-02-05,5.977719783782959
2020-02-06,5.980899810791016
2020-02-07,5.98769998550415
2020-02-10,5.986939907073975
2020-02-11,6.00570011138916
2020-02-12,6.015999794006348
2020-02-13,6.0441999435424805
2020-02-14,6.039700031280518
2020-02-17,6.054200172424316
2020-02-18,6.0467000007629395
2020-02-19,6.064000129699707
2020-02-20,6.083000183105469
2020-02-21,6.102399826049805
2020-02-24,6.109189987182617
2020-02-25,6.115200042724609
2020-02-26,6.147299766540527
2020-02-27,6.160099983215332
2020-02-28,6.206769943237305
2020-03-02,6.249269962310791
2020-03-03,6.171299934387207
2020-03-04,6.112199783325195
2020-03-05,6.079800128936768
2020-03-06,6.102530002593994
2020-03-09,6.121079921722412
2020-03-10,6.157400131225586
2020-03-11,6.170619964599609
2020-03-12,6.211100101470947
2020-03-13,6.316199779510498
2020-03-16,6.282869815826416
2020-03-17,6.429299831390381
2020-03-18,6.399700164794922
2020-03-19,6.47189998626709
2020-03-20,6.541319847106934
2020-03-23,6.5572099685668945
2020-03-24,6.5467000007629395
2020-03-25,6.436299800872803
2020-03-26,6.418600082397461
2020-03-27,6.399799823760986
2020-03-30,6.459799766540527
2020-03-31,6.565040111541748
2020-04-01,6.612989902496338
2020-04-02,6.707300186157227
2020-04-03,6.632299900054932
2020-04-06,6.739999771118164
2020-04-07,6.765699863433838
2020-04-08,6.757689952850342
2020-04-09,6.772900104522705
2020-04-10,6.686100006103516
